ID,Lon,Lat,onset_dy,end_dy,duration,intensity,min
287,-86.3750,13.8750,167.7045,243.0156,75.3111,5.5297,4.7186
288,-86.1250,13.8750,169.7622,239.7733,70.0111,5.3481,5.4303
289,-85.8750,13.8750,171.0778,239.7067,68.6289,5.4466,6.0520
290,-85.6250,13.8750,171.7089,236.6244,64.9155,5.3979,6.8144
291,-85.3750,13.8750,172.1267,233.3911,61.2644,5.4152,7.6779
292,-85.1250,13.8750,171.9756,231.3867,59.4111,5.6308,8.5432
301,-91.6250,14.1250,166.3533,251.3556,85.0022,13.4003,6.7556
302,-91.3750,14.1250,165.9333,252.0689,86.1356,14.4130,7.5820
303,-91.1250,14.1250,164.2489,252.6667,88.4178,15.6312,8.1604
304,-90.8750,14.1250,161.7022,252.9689,91.2667,17.6392,8.5893
305,-90.6250,14.1250,161.2489,252.7667,91.5178,16.9560,8.5240
306,-90.3750,14.1250,163.2333,251.0067,87.7733,14.2058,8.0758
307,-90.1250,14.1250,164.3956,248.1978,83.8022,12.0407,7.7732
308,-89.8750,14.1250,167.3978,243.3400,75.9422,10.0825,7.9606
309,-89.6250,14.1250,169.5044,239.1045,69.6000,8.7124,7.9969
310,-89.3750,14.1250,172.9267,237.0956,64.1689,7.6295,8.0187
311,-89.1250,14.1250,174.3689,236.6889,62.3200,7.1418,7.7421
312,-88.8750,14.1250,174.8445,238.4511,63.6066,7.1400,7.2064
313,-88.6250,14.1250,174.4844,239.6378,65.1533,7.1586,6.8776
314,-88.3750,14.1250,174.4689,240.3222,65.8533,7.1233,6.7874
315,-88.1250,14.1250,174.1733,241.7422,67.5689,7.1200,6.3484
316,-87.8750,14.1250,170.6533,243.9889,73.3356,6.8026,5.7183
318,-87.3750,14.1250,164.8733,247.3444,82.4711,6.2864,4.2175
319,-87.1250,14.1250,163.5600,247.8067,84.2467,6.0355,3.8591
320,-86.8750,14.1250,165.2267,246.9222,81.6956,5.7627,3.9119
321,-86.6250,14.1250,166.4333,245.1333,78.7000,5.5803,4.1723
322,-86.3750,14.1250,167.9422,242.1000,74.1578,5.4420,4.6572
323,-86.1250,14.1250,169.5156,239.9133,70.3978,5.3445,5.1985
324,-85.8750,14.1250,169.8267,235.8733,66.0467,5.1701,5.9351
325,-85.6250,14.1250,170.9089,234.3044,63.3955,5.2065,6.6418
326,-85.3750,14.1250,171.5622,231.0511,59.4889,5.2964,7.5350
327,-85.1250,14.1250,171.8711,228.4067,56.5356,5.5488,8.5081
328,-84.8750,14.1250,171.4645,224.5689,53.1044,5.6963,9.8977
337,-91.8750,14.3750,166.2289,251.1911,84.9622,14.8065,7.2482
338,-91.6250,14.3750,166.5311,250.8778,84.3467,14.6887,7.6925
339,-91.3750,14.3750,167.0044,251.1689,84.1644,14.2393,7.9592
340,-91.1250,14.3750,165.8822,251.5711,85.6889,14.5932,8.1546
341,-90.8750,14.3750,162.6844,252.8444,90.1600,16.3712,8.3100
342,-90.6250,14.3750,161.6867,252.9556,91.2689,15.8833,8.1627
343,-90.3750,14.3750,162.7178,251.1533,88.4355,13.6132,7.9068
344,-90.1250,14.3750,164.3600,248.4533,84.0933,11.8546,7.8724
345,-89.8750,14.3750,166.7756,242.7467,75.9711,10.2853,8.3461
346,-89.6250,14.3750,169.0133,239.7600,70.7467,9.1675,8.3607
347,-89.3750,14.3750,171.5578,236.8822,65.3244,7.9864,8.2617
348,-89.1250,14.3750,173.1956,237.3045,64.1089,7.3862,7.7794
349,-88.8750,14.3750,173.9089,239.2644,65.3556,7.1555,7.0328
350,-88.6250,14.3750,174.4156,240.2089,65.7933,7.1194,6.8496
351,-88.3750,14.3750,175.4644,239.4333,63.9689,7.2274,7.2424
352,-88.1250,14.3750,176.0756,239.6045,63.5289,7.2051,7.1999
353,-87.8750,14.3750,173.9444,240.2289,66.2845,6.8273,6.7332
355,-87.3750,14.3750,167.5333,242.7911,75.2578,6.1901,5.0324
356,-87.1250,14.3750,164.9578,244.2133,79.2556,6.0078,4.4158
357,-86.8750,14.3750,166.4800,244.0644,77.5844,5.7211,4.3192
364,-85.1250,14.3750,171.7222,228.3822,56.6600,5.5240,8.4140
374,-92.1250,14.6250,165.5133,249.5400,84.0267,13.5034,6.5081
375,-91.8750,14.6250,165.8889,249.7155,83.8267,15.9269,8.1455
376,-91.6250,14.6250,165.7400,249.0467,83.3067,15.8445,8.6798
377,-91.3750,14.6250,168.3533,249.2533,80.9000,13.5590,8.0619
378,-91.1250,14.6250,169.1022,248.9667,79.8645,12.1555,7.4825
379,-90.8750,14.6250,167.0022,250.6489,83.6467,11.9658,6.9546
380,-90.6250,14.6250,165.6356,250.7778,85.1422,11.5147,6.7795
381,-90.3750,14.6250,165.2822,249.7644,84.4822,11.1700,7.1114
382,-90.1250,14.6250,164.9267,247.8422,82.9156,10.8812,7.6498
383,-89.8750,14.6250,166.6756,243.0244,76.3489,10.3932,8.6623
384,-89.6250,14.6250,168.2711,240.7222,72.4511,9.7505,8.8745
385,-89.3750,14.6250,170.8556,237.4289,66.5733,8.4515,8.6863
386,-89.1250,14.6250,171.7444,237.8689,66.1244,7.7943,7.8106
387,-88.8750,14.6250,172.0889,240.6489,68.5600,7.3312,6.5919
388,-88.6250,14.6250,173.6667,241.1644,67.4978,7.2541,6.5324
389,-88.3750,14.6250,176.4178,238.6511,62.2333,7.4297,7.7605
390,-88.1250,14.6250,176.9622,238.0800,61.1178,7.5870,8.1897
394,-87.1250,14.6250,168.2067,241.5822,73.3755,6.0477,5.0391
395,-86.8750,14.6250,168.5889,241.6622,73.0733,5.7812,4.8520
413,-92.1250,14.8750,165.6689,249.2644,83.5956,12.0177,6.1586
414,-91.8750,14.8750,165.6689,248.7711,83.1022,14.7281,8.1051
415,-91.6250,14.8750,166.9556,247.8733,80.9178,14.7404,8.8792
416,-91.3750,14.8750,170.1022,246.4044,76.3022,12.4439,8.3749
417,-91.1250,14.8750,172.0178,245.5911,73.5734,10.7960,7.8206
418,-90.8750,14.8750,171.4378,247.4333,75.9956,10.0083,7.1952
419,-90.6250,14.8750,170.0867,247.7911,77.7044,9.5239,6.9221
420,-90.3750,14.8750,166.7267,248.4289,81.7022,9.7783,7.0326
421,-90.1250,14.8750,165.3178,246.4689,81.1511,10.2289,7.8303
422,-89.8750,14.8750,167.2933,241.8000,74.5067,10.6369,9.5263
423,-89.6250,14.8750,168.6133,239.3644,70.7511,10.3599,9.9528
424,-89.3750,14.8750,171.0556,237.8489,66.7933,9.0351,9.3289
425,-89.1250,14.8750,171.8378,237.5978,65.7600,8.1587,8.3241
426,-88.8750,14.8750,172.1444,240.0511,67.9067,7.5097,7.0599
427,-88.6250,14.8750,173.5244,239.8000,66.2755,7.2935,7.0040
433,-87.1250,14.8750,170.1156,239.5356,69.4200,6.0744,5.3750
454,-91.8750,15.1250,167.5111,245.9200,78.4089,11.4993,7.2282
455,-91.6250,15.1250,169.1733,243.6378,74.4645,11.5542,8.4820
456,-91.3750,15.1250,172.0622,240.5867,68.5245,10.7302,9.3636
457,-91.1250,15.1250,173.1733,240.1555,66.9822,10.1971,9.6489
458,-90.8750,15.1250,172.5200,243.4911,70.9711,10.3735,9.1779
459,-90.6250,15.1250,170.7600,245.0000,74.2400,10.0113,8.5669
460,-90.3750,15.1250,166.8267,247.5889,80.7622,9.7274,7.5889
461,-90.1250,15.1250,166.3933,245.3533,78.9600,10.0519,8.4660
462,-89.8750,15.1250,170.0533,238.0089,67.9556,10.6936,11.4194
463,-89.6250,15.1250,171.2444,236.4644,65.2200,10.7318,11.9913
464,-89.3750,15.1250,171.0778,236.8311,65.7533,9.6103,10.3864
466,-88.8750,15.1250,173.2533,237.7289,64.4756,7.8765,8.2643
493,-92.1250,15.3750,170.4133,245.9422,75.5289,9.7181,6.3920
494,-91.8750,15.3750,171.1289,241.6245,70.4956,9.8215,7.7773
495,-91.6250,15.3750,173.3556,237.3600,64.0044,9.8206,9.5230
496,-91.3750,15.3750,175.4800,235.5867,60.1067,10.1525,11.3043
497,-91.1250,15.3750,175.3244,235.3200,59.9956,10.3384,11.9349
498,-90.8750,15.3750,172.7956,242.2156,69.4200,11.1450,11.0236
533,-91.8750,15.6250,174.2022,238.1889,63.9867,10.1325,9.7240
534,-91.6250,15.6250,176.5067,233.3844,56.8778,9.9575,11.9317
535,-91.3750,15.6250,177.7733,230.4178,52.6445,10.4248,14.8121
536,-91.1250,15.6250,177.0467,232.0933,55.0467,11.0630,15.0752
537,-90.8750,15.6250,172.7933,239.8378,67.0444,12.1871,12.9482
571,-91.6250,15.8750,176.2578,233.8022,57.5444,9.8969,11.8004
572,-91.3750,15.8750,177.5489,231.7555,54.2067,10.8580,14.7354
573,-91.1250,15.8750,176.1200,233.0533,56.9333,11.6549,15.0691
574,-90.8750,15.8750,172.0689,239.3244,67.2555,12.4882,13.1311
