ID,Lon,Lat,gfdl-esm2g,canesm2,cnrm-cm5,csiro-mk3-6-0,inmcm4,miroc5,mpi-esm-lr,mri-cgcm3,ccsm4,noresm1-m,bcc-csm1-1,ipsl-cm5a-lr,ipsl-cm5a-mr,gfdl-cm3,gfdl-esm2m
86,-85.6250,11.1250,5.0789,5.1593,4.1534,4.4124,4.6530,3.8017,4.7291,3.2682,4.7983,4.8169,4.7152,5.0133,5.0205,5.0849,4.9176
87,-85.3750,11.1250,6.0081,5.8158,4.8523,5.2348,5.6194,5.3104,5.4559,4.4150,5.3568,5.9434,5.6400,5.9165,6.3243,6.4481,5.9825
88,-85.1250,11.1250,7.4984,6.8891,6.6338,7.8841,7.0043,6.4134,6.9509,5.9073,7.1780,7.6086,6.9907,8.0109,8.4424,8.2194,7.4840
89,-84.8750,11.1250,9.5290,8.7095,8.4207,10.0867,9.9176,8.9549,8.5992,7.8459,9.3915,9.8559,8.8957,11.0096,11.1562,11.4948,9.9261
90,-84.6250,11.1250,12.0095,11.1418,10.3618,12.7458,12.9402,11.3707,11.6823,10.6113,12.3407,12.1424,11.3655,13.1156,13.6543,13.8140,12.4909
91,-84.3750,11.1250,14.8510,13.2249,13.6876,14.7392,15.9564,13.7272,13.9338,12.2058,15.2623,14.6367,13.1864,15.5900,16.2242,15.9363,14.1408
95,-85.8750,11.3750,4.7205,4.8038,3.6596,4.1069,4.3530,3.4480,4.4501,3.2400,4.4024,4.3510,4.3949,4.5515,4.6714,4.6845,4.5852
96,-85.6250,11.3750,5.1933,5.1632,4.4625,4.5642,4.7178,4.0682,5.0135,3.3463,4.8352,4.8705,5.0432,5.0255,5.2788,5.2439,5.0245
97,-85.3750,11.3750,5.9222,5.6002,5.1101,5.3056,5.5734,5.3688,5.4981,4.0862,5.1806,6.2025,5.5582,6.0518,6.3063,6.6053,5.9121
98,-85.1250,11.3750,7.5662,6.8011,6.6676,7.6566,6.8594,7.2489,6.9786,6.0199,7.0052,7.6977,6.9515,7.9607,7.7683,8.2038,7.2974
