ID,Lon,Lat,onset_dy,p-onset_dy,end_dy,p-end_dy,duration,p-duration,intensity,p-intensity,min,p-min
97,-85.3750,11.3750,-1.9178,0.1640,2.2556,0.6092,4.1733,0.3343,0.3541,0.2560,-0.7663,0.0783
98,-85.1250,11.3750,-2.6778,0.0691,2.9933,0.2560,5.6711,0.1252,0.4037,0.0884,-0.9437,0.0783
99,-84.8750,11.3750,-2.2622,0.0883,2.9178,0.4265,5.1800,0.2805,0.1224,0.5321,-0.9315,0.1398
100,-84.6250,11.3750,-1.2156,0.6092,2.9155,0.3066,4.1311,0.2115,0.1239,0.7764,-1.0480,0.1914
105,-86.1250,11.6250,-2.2533,0.1578,1.4667,0.4265,3.7200,0.1252,0.4626,0.0995,-0.6752,0.0231
106,-85.8750,11.6250,-1.7756,0.0995,2.4400,0.4265,4.2156,0.2560,0.1791,0.6909,-0.5752,0.0995
107,-85.6250,11.6250,-2.3422,0.0884,3.2467,0.3343,5.5889,0.0995,0.3002,0.1914,-0.7361,0.0691
108,-85.3750,11.6250,-2.4200,0.1556,2.7155,0.4603,5.1356,0.2560,0.2836,0.2330,-0.7537,0.0884
109,-85.1250,11.6250,-3.7067,0.0199,3.2089,0.1819,6.9156,0.0609,0.3026,0.1728,-0.9261,0.0884
110,-84.8750,11.6250,-2.2178,0.0995,3.0445,0.2805,5.2622,0.1556,0.1473,0.4603,-1.0441,0.1398
111,-84.6250,11.6250,-1.7822,0.1118,2.3067,0.4955,4.0889,0.2560,0.0515,0.7764,-1.0373,0.2115
117,-86.3750,11.8750,-3.0355,0.0691,2.4289,0.1252,5.4644,0.0468,0.4157,0.1252,-0.6041,0.0171
118,-86.1250,11.8750,-2.7933,0.1252,2.3533,0.1252,5.1466,0.0309,0.4354,0.0783,-0.6587,0.0171
119,-85.8750,11.8750,-1.7889,0.1252,2.7422,0.2805,4.5311,0.1728,0.1711,0.6909,-0.5905,0.0783
120,-85.6250,11.8750,-2.2155,0.0884,3.3911,0.2115,5.6067,0.1252,0.2745,0.2560,-0.7570,0.0535
121,-85.3750,11.8750,-3.0533,0.0649,3.0644,0.2560,6.1178,0.1118,0.1763,0.3066,-0.7192,0.0884
122,-85.1250,11.8750,-3.8867,0.0268,3.1378,0.1819,7.0244,0.0783,0.2063,0.2560,-0.9024,0.0884
123,-84.8750,11.8750,-2.4622,0.0268,2.8933,0.2805,5.3556,0.0884,0.1426,0.5321,-1.0801,0.1398
130,-86.6250,12.1250,-2.1178,0.0782,3.2955,0.0468,5.4133,0.0535,0.3170,0.3343,-0.5877,0.0171
131,-86.3750,12.1250,-1.7156,0.3066,2.4578,0.0783,4.1734,0.0884,0.3208,0.3635,-0.5901,0.0199
132,-86.1250,12.1250,-1.6667,0.2560,2.8489,0.0783,4.5156,0.0409,0.3211,0.3942,-0.6231,0.0356
133,-85.8750,12.1250,-2.4356,0.0468,1.2400,0.5701,3.6756,0.1252,0.2862,0.2560,-0.6613,0.0409
134,-85.6250,12.1250,-2.8956,0.0535,2.3444,0.2560,5.2400,0.0782,0.2549,0.1914,-0.6944,0.0783
135,-85.3750,12.1250,-2.5711,0.0691,3.2289,0.2115,5.8000,0.1728,0.3285,0.1252,-0.8386,0.0691
136,-85.1250,12.1250,-3.2244,0.0437,0.9733,0.7333,4.1978,0.3635,0.2208,0.3942,-0.8310,0.0995
137,-84.8750,12.1250,-3.2600,0.0409,2.8600,0.2805,6.1200,0.0995,0.4092,0.1118,-1.1958,0.1398
145,-86.8750,12.3750,-2.3956,0.0995,3.1978,0.0309,5.5933,0.0268,0.2550,0.6092,-0.5789,0.0125
146,-86.6250,12.3750,-2.0133,0.0995,2.7133,0.0090,4.7267,0.0468,0.2468,0.7333,-0.5516,0.0106
147,-86.3750,12.3750,-1.6422,0.2330,2.2422,0.0691,3.8844,0.1556,0.2598,0.6092,-0.5772,0.0146
148,-86.1250,12.3750,-2.0133,0.1117,2.9911,0.0783,5.0045,0.0309,0.2853,0.4955,-0.6397,0.0268
149,-85.8750,12.3750,-1.9222,0.0884,1.2911,0.7333,3.2133,0.2115,0.2009,0.6092,-0.6210,0.0356
