ID,Lon,Lat,gfdl-esm2g,canesm2,cnrm-cm5,csiro-mk3-6-0,inmcm4,miroc5,mpi-esm-lr,mri-cgcm3,ccsm4,noresm1-m,bcc-csm1-1,ipsl-cm5a-lr,ipsl-cm5a-mr,gfdl-cm3,gfdl-esm2m
84,-83.6250,10.8750,21.7877,19.3002,22.0898,23.8732,18.1914,22.8845,20.9609,24.9142,22.2478,21.8192,21.0164,21.5675,22.0716,20.0285,24.3077
86,-85.6250,11.1250,12.0437,11.0569,15.4404,14.1233,11.8713,14.2336,13.7247,14.2934,13.0107,12.5441,11.3157,11.7112,11.6142,10.9909,13.2042
87,-85.3750,11.1250,12.6668,11.5573,15.8865,14.5805,12.4033,14.4776,14.1513,14.9518,13.6345,13.2560,11.8869,12.1600,12.9812,11.6682,13.8886
88,-85.1250,11.1250,14.0197,12.4018,16.8827,15.8933,13.6329,15.4299,14.7368,15.9807,14.8733,14.7886,13.1660,13.4039,15.0081,13.1690,15.4414
89,-84.8750,11.1250,16.4177,13.9944,18.5692,18.3594,15.8980,17.4359,16.1426,18.0877,16.8759,17.2453,15.2714,16.1553,17.3856,15.7506,18.0135
90,-84.6250,11.1250,18.8177,15.9521,20.7591,20.8985,18.6320,19.6925,18.0276,20.7416,19.4167,19.8829,17.5137,18.7841,19.6198,18.2294,20.6478
91,-84.3750,11.1250,21.3473,17.9133,23.0673,23.5739,21.4266,22.3279,20.4033,23.7793,22.1114,22.5125,19.7468,21.3743,22.0502,20.6945,23.3135
95,-85.8750,11.3750,11.4698,10.6772,14.3156,13.5355,11.4792,13.4500,13.1518,13.2415,12.1451,11.9445,10.8759,11.0083,11.1990,10.3885,12.5407
96,-85.6250,11.3750,11.7707,10.8909,14.5337,13.7577,11.6635,13.6139,13.2267,13.8051,12.5259,12.3983,11.1951,11.1924,12.1042,10.7201,12.9301
97,-85.3750,11.3750,12.0410,11.0035,14.6296,13.9255,11.8646,13.5432,13.2834,14.0147,12.8534,12.7564,11.4325,11.3323,13.0153,11.1002,13.2423
98,-85.1250,11.3750,13.4565,11.9974,15.8078,15.4379,13.1722,14.6813,14.1467,15.2371,14.3156,14.3460,12.8080,12.8261,14.9949,12.7283,14.8305
99,-84.8750,11.3750,16.2368,14.0223,18.1958,18.4865,15.8936,17.4282,16.2192,18.0822,16.8792,17.2493,15.2866,15.8681,17.6178,15.6127,17.8340
100,-84.6250,11.3750,19.0311,16.2841,20.9526,21.5514,18.9917,20.2766,18.6392,21.4655,19.8177,20.3403,17.8818,18.8575,20.1818,18.4244,20.8242
105,-86.1250,11.6250,10.8842,9.9209,12.0790,12.1096,10.5944,12.0347,12.2360,12.1506,10.9865,11.5212,10.2730,10.0448,9.4974,9.6108,11.9266
106,-85.8750,11.6250,10.8571,10.3043,13.2052,12.8203,10.9537,12.5271,12.5306,12.4162,11.3239,11.3594,10.4177,10.1926,10.5767,9.7854,11.8399
