ID,Lon,Lat,gfdl-esm2g,canesm2,cnrm-cm5,csiro-mk3-6-0,inmcm4,miroc5,mpi-esm-lr,mri-cgcm3,ccsm4,noresm1-m,bcc-csm1-1,ipsl-cm5a-lr,ipsl-cm5a-mr,gfdl-cm3,gfdl-esm2m
59,-84.3750,10.3750,57.0334,71.9334,71.9333,61.8000,59.7667,69.4000,68.0667,66.4667,66.4000,61.4000,65.4333,57.1334,51.5667,49.5000,54.9333
60,-84.1250,10.3750,41.6333,61.5334,63.3000,52.5334,44.9667,56.8333,59.5666,61.1000,52.6667,54.3666,60.6333,53.6000,46.8667,44.3000,52.7000
61,-83.8750,10.3750,47.4000,53.9333,55.7000,48.7333,44.5667,53.2333,48.5000,53.1000,49.3334,44.4334,52.3667,47.2666,45.7333,42.6000,56.3334
62,-83.6250,10.3750,43.6333,50.5666,51.6667,42.0333,43.7333,46.5000,50.3333,50.6334,43.2667,38.5667,48.5666,47.1667,43.5000,42.0000,52.3667
65,-85.6250,10.6250,82.2000,91.3000,85.8333,85.5000,82.2666,79.9333,90.2666,81.4667,85.3667,77.5000,80.1334,78.0667,74.8334,74.3000,79.2000
66,-85.3750,10.6250,74.9334,86.9000,81.8000,82.3667,79.8333,78.5333,90.8000,81.0000,81.7666,74.0333,77.3334,71.2334,71.3000,76.1000,75.2666
67,-85.1250,10.6250,67.6000,81.1334,71.6334,72.1000,71.7333,72.2334,85.0666,75.0000,74.1000,67.9000,73.5333,62.0000,68.1667,66.2333,67.3334
68,-84.8750,10.6250,59.2000,69.3333,68.6333,56.7000,64.1000,65.0333,73.1000,67.9334,67.4000,65.0667,66.6334,59.2334,51.1667,57.6667,56.6000
69,-84.6250,10.6250,50.9667,61.2667,58.3000,51.8667,51.3333,57.9667,60.1667,58.7334,49.9666,56.3666,58.0000,49.7000,47.0667,45.6667,50.8333
70,-84.3750,10.6250,43.9334,57.3333,55.7000,46.6333,45.1333,59.2000,56.0333,51.3000,45.6333,53.6666,50.7333,44.2333,45.7666,35.1333,48.4667
71,-84.1250,10.6250,38.4000,48.0667,47.5333,41.6000,35.2334,48.5667,49.1000,45.7000,34.3000,50.0000,43.3666,36.5666,40.9667,29.7000,45.0333
72,-83.8750,10.6250,41.5000,47.7333,48.9667,40.0667,44.0000,47.6000,46.9000,47.1334,42.5334,34.7333,46.1000,43.4000,36.4000,39.5333,50.2000
73,-83.6250,10.6250,42.3333,49.2000,46.4000,37.7000,36.5333,42.3333,46.5666,41.0333,41.5333,35.1334,47.5000,41.6334,36.5000,38.2666,46.8667
76,-85.6250,10.8750,75.6334,86.5666,78.9000,79.9667,78.7000,75.7333,90.1334,84.6667,82.1333,74.1333,77.6334,72.4667,71.2667,73.7666,69.8667
77,-85.3750,10.8750,72.6667,84.6000,75.3666,77.6666,75.1667,71.3667,89.1334,79.8334,71.3333,70.9333,75.3666,64.5000,70.7334,72.1000,64.1000
78,-85.1250,10.8750,64.5333,75.9000,67.1000,62.3000,64.0333,67.2000,79.7667,72.6334,70.0000,64.6000,64.2333,56.7333,64.2000,51.8000,59.9000
79,-84.8750,10.8750,51.4667,62.5000,60.9667,53.5333,53.7334,60.8667,64.7333,64.1000,50.1000,57.5667,58.6000,50.9000,49.4666,45.8666,51.2000
80,-84.6250,10.8750,40.4000,50.6667,55.3667,41.3667,44.2000,48.5667,52.1334,51.1334,38.6666,52.9333,45.3333,41.4333,44.5334,31.9000,45.0666
81,-84.3750,10.8750,36.2333,45.1667,51.3000,39.2000,32.9666,50.2334,42.7334,50.9666,34.4000,47.3333,43.2000,38.2333,42.4000,28.4667,43.5000
82,-84.1250,10.8750,34.1000,40.5667,42.4333,37.7667,33.8666,44.8333,42.6334,46.3667,30.1000,44.7667,43.3000,33.2333,35.6000,31.4333,40.8000
83,-83.8750,10.8750,42.9000,47.7667,48.2667,41.0333,42.1667,45.6000,51.0334,45.3000,40.8333,36.9666,46.2000,37.1000,34.1666,36.1334,50.4667
84,-83.6250,10.8750,42.8666,49.1333,47.8666,40.7000,41.8667,43.7000,51.4666,38.6667,41.1666,36.8666,49.0333,39.9000,39.0666,39.3667,49.0333
86,-85.6250,11.1250,81.0000,89.5334,88.1000,82.0000,84.5000,85.7334,93.1000,86.4000,80.4667,77.2666,84.3666,73.8667,71.5333,74.3667,72.6334
87,-85.3750,11.1250,73.7333,90.0333,85.2334,77.0333,80.0667,74.6000,88.8667,84.3000,78.4667,72.0667,78.2334,73.5333,67.6000,68.6334,65.6333
88,-85.1250,11.1250,62.3334,74.9000,72.7666,59.2666,70.0000,66.9000,78.0666,74.7667,65.6334,65.8333,70.7333,59.8333,59.2667,55.3667,59.8000
89,-84.8750,11.1250,49.8333,61.2667,60.3000,49.1666,48.0000,55.4333,67.0666,62.7000,50.9000,54.4333,55.2000,43.9000,50.2333,35.1334,49.2667
90,-84.6250,11.1250,42.5333,46.7000,55.8000,44.0667,38.9334,48.2333,49.5667,51.7000,40.1666,49.6667,47.2000,41.1333,43.6000,31.2667,41.2000
91,-84.3750,11.1250,33.5667,44.2000,45.4333,40.1333,32.9333,46.0666,41.0334,49.7000,37.0000,44.8000,43.4333,35.1334,40.2000,30.5000,42.3333
95,-85.8750,11.3750,84.6333,88.6333,89.6000,84.2000,87.0666,89.1667,91.5333,84.7333,85.2667,78.9667,86.9333,75.7000,71.7667,78.3334,72.7334
96,-85.6250,11.3750,78.4000,87.6334,86.1667,78.4667,83.9000,83.7000,88.0333,86.1333,80.5000,74.8334,81.0666,73.7666,69.0667,72.3333,72.6000
97,-85.3750,11.3750,73.5000,88.1667,82.2000,73.4000,77.0000,70.3000,86.8333,83.5667,77.8000,66.5667,75.5666,68.1333,65.5000,63.7333,65.7333
98,-85.1250,11.3750,57.2667,75.0000,71.8333,58.3000,67.9333,60.1666,75.5000,71.2000,65.0000,61.5000,67.2333,57.1333,62.4334,53.3667,59.8667
99,-84.8750,11.3750,51.3667,61.5333,61.4333,48.8000,49.1334,53.1334,68.2000,59.3667,48.5334,52.3333,53.0000,42.8000,48.0334,33.5000,49.7000
100,-84.6250,11.3750,41.6333,51.5667,56.5666,42.2667,37.5666,51.2334,51.5334,50.9667,43.6667,48.3667,48.4333,38.2666,42.2000,31.7333,45.0334
105,-86.1250,11.6250,90.8333,98.3667,101.1333,91.1000,92.4333,96.3666,102.7333,89.9000,96.2000,88.1333,95.5333,88.1333,83.5000,88.8334,78.0667
106,-85.8750,11.6250,84.8333,89.0333,92.8333,84.2333,88.5666,86.0333,93.4667,86.8000,85.4333,80.4000,88.2000,81.0667,71.0666,79.5666,72.7333
107,-85.6250,11.6250,76.6667,87.6667,85.3667,74.3667,81.6000,83.0000,89.2667,81.8667,79.2667,73.7666,79.9000,69.4667,67.9333,67.0334,63.8666
108,-85.3750,11.6250,73.8000,85.7000,83.9334,68.3333,77.3333,71.6333,81.4000,82.5000,76.1667,68.9333,75.5333,63.8333,62.7334,60.4666,61.5000
109,-85.1250,11.6250,55.8000,74.1334,65.2000,58.2000,63.5000,60.4334,74.3667,70.1000,62.2667,58.7666,64.4666,54.2333,59.1666,53.6000,57.7333
110,-84.8750,11.6250,48.5000,63.0000,59.1666,50.0334,45.9000,54.8000,68.4667,58.2666,46.8000,49.8000,51.5334,42.8000,50.0667,35.0667,50.3000
111,-84.6250,11.6250,40.4000,49.8333,53.7333,45.3000,36.0666,53.7334,53.8333,51.2666,43.8000,49.5667,45.9333,33.9000,42.9000,31.7334,44.8333
117,-86.3750,11.8750,95.0000,97.1666,99.7333,91.8667,97.8334,95.8333,102.7666,93.5000,94.5000,88.7334,92.2333,91.6000,85.9334,94.9000,79.5667
118,-86.1250,11.8750,92.5000,96.6000,101.3334,90.8000,92.7334,96.7667,101.2334,91.9333,94.2334,84.2333,89.2667,88.8000,86.9000,89.8000,77.2333
119,-85.8750,11.8750,86.4334,88.7333,93.6667,86.1000,88.3000,83.4667,91.3333,87.3333,88.1000,81.4667,85.7334,83.4667,70.4666,76.5667,69.6667
120,-85.6250,11.8750,78.5667,87.1000,80.9667,71.5333,81.6000,78.1667,88.9000,81.7667,83.0334,72.4000,79.1000,68.6000,68.3000,67.5334,63.5000
121,-85.3750,11.8750,72.8333,83.4667,74.3000,67.5000,72.8000,69.6000,78.0333,81.4334,73.1000,66.4333,73.7667,62.3000,61.5667,59.9667,60.8333
122,-85.1250,11.8750,55.3667,73.9333,64.6667,57.3333,58.3000,59.8333,74.4334,67.8000,57.2667,58.1334,61.3333,52.5333,59.2000,52.4667,58.5334
123,-84.8750,11.8750,45.6334,64.4666,57.2000,50.5667,48.9667,54.2667,70.7666,57.8333,45.1666,49.8333,51.6666,44.1333,50.3000,39.2334,50.3000
130,-86.6250,12.1250,89.9667,98.7333,98.1000,93.3667,95.5334,95.6667,102.3000,93.1000,95.4333,85.2333,90.3334,96.4000,80.3000,100.7000,79.4667
131,-86.3750,12.1250,91.3667,99.8000,101.4333,92.9000,98.9000,95.9333,103.5000,94.6667,95.6666,85.3000,90.7666,97.8000,84.0000,101.3000,79.5000
132,-86.1250,12.1250,88.4666,98.0000,98.6333,91.8000,94.4666,94.6000,101.0667,94.3666,94.7667,84.2667,90.1333,93.1333,84.2667,94.7667,77.2000
133,-85.8750,12.1250,84.8000,93.9333,98.5000,86.9000,91.7000,89.9667,96.4667,90.3333,91.7333,82.6667,86.0667,86.4334,80.4000,77.2333,71.7334
134,-85.6250,12.1250,75.3667,88.9667,88.1334,74.4666,85.4000,83.1666,90.3666,82.6000,83.9333,78.2667,82.6667,77.7333,76.2333,73.5667,63.7334
135,-85.3750,12.1250,72.5333,82.2000,82.3333,67.5000,78.8666,71.9667,80.5000,75.2334,72.3334,69.8334,79.8000,70.2667,68.5334,64.7000,59.9666
136,-85.1250,12.1250,63.2333,75.3000,74.9333,59.1334,67.0666,66.3667,76.6667,69.5667,65.9334,63.9667,69.7333,59.8333,60.7666,52.4333,57.3666
137,-84.8750,12.1250,46.8000,64.5000,62.1334,48.5667,51.7333,52.5000,68.4000,61.9333,47.4667,50.0000,51.1000,41.5000,54.0000,41.9667,50.0000
145,-86.8750,12.3750,89.6000,98.3000,96.7333,92.1000,96.5667,94.8667,100.4334,94.1666,93.9667,83.2667,93.2667,98.4000,82.7334,98.4000,84.3333
146,-86.6250,12.3750,90.3667,98.3334,101.6666,93.9000,96.1000,95.9000,103.2333,93.5000,95.9000,86.2000,90.6667,99.5333,89.4000,100.8000,85.6333
147,-86.3750,12.3750,89.8000,98.7333,99.9000,95.8666,96.5000,95.8333,102.1667,94.7667,96.5666,86.2000,89.7334,98.0667,84.7334,99.6333,79.5000
148,-86.1250,12.3750,85.0333,97.0333,97.6333,89.2666,90.2000,93.6333,99.7333,92.7667,95.4000,84.7000,86.7666,91.9666,84.3667,92.1333,75.9334
