ID,Lon,Lat,ann_avg
494,-91.8750,15.3750,5.9757
495,-91.6250,15.3750,6.7897
496,-91.3750,15.3750,7.7190
497,-91.1250,15.3750,8.3765
498,-90.8750,15.3750,8.8854
533,-91.8750,15.6250,6.9359
534,-91.6250,15.6250,7.9222
535,-91.3750,15.6250,9.3633
536,-91.1250,15.6250,10.0270
537,-90.8750,15.6250,10.0517
571,-91.6250,15.8750,7.9492
572,-91.3750,15.8750,9.6303
573,-91.1250,15.8750,10.3326
574,-90.8750,15.8750,10.1965
