ID,Lon,Lat,nyears,onset_mx_mn,onset_dy_mn,end_mx_mn,end_dy_mn,min_mn_mn,duration_mn,intensity_mn,onset_mx_sd,onset_dy_sd,end_mx_sd,end_dy_sd,min_mn_sd,duration_sd,intensity_sd
135,-85.375,12.125,30,12.4032,174.7333,13.2408,240.8667,6.4855,66.1333,6.3365,3.0364,13.6431,2.7861,23.8931,3.6950,32.1792,3.1422
136,-85.125,12.125,30,14.4605,177.2667,15.1035,234.3333,8.1369,57.0667,6.6451,3.5149,15.2856,3.1834,25.2618,4.6851,33.8393,3.6453
137,-84.875,12.125,30,18.4689,177.8000,18.6320,227.4667,9.6191,49.6667,8.9314,5.2263,15.9922,3.9609,21.1884,5.9414,29.6489,5.0669
145,-86.875,12.375,30,10.7662,161.0333,12.0419,261.0667,2.9528,100.0333,8.4512,2.6750,17.2716,2.9453,10.4747,1.0957,20.4728,1.7329
146,-86.625,12.375,30,10.7122,162.4667,11.7346,261.2667,2.8525,98.8000,8.3709,2.8086,16.3849,2.9697,10.5730,1.0537,19.9489,1.8175
147,-86.375,12.375,30,10.4603,162.6333,11.2768,259.6333,2.8589,97.0000,8.0097,2.8111,17.7851,2.8445,14.9378,1.1031,22.0392,1.8262
148,-86.125,12.375,30,10.3713,164.2667,11.1109,258.2667,3.1055,94.0000,7.6356,2.7582,17.4394,2.6605,15.8221,1.1166,22.0610,1.8282
149,-85.875,12.375,30,10.2463,169.3333,11.0557,257.3000,4.0118,87.9667,6.6392,2.7105,15.5038,2.1693,17.4951,1.8492,25.6172,2.1723
150,-85.625,12.375,30,11.0584,173.1667,11.6618,250.9333,4.9726,77.7667,6.3875,2.8038,12.9244,2.4027,21.0237,2.6709,28.2571,2.6497
151,-85.375,12.375,30,12.4227,173.5667,12.9913,238.7333,6.3772,65.1667,6.3298,3.0234,14.2095,2.7386,24.2742,3.6393,32.0819,3.1948
152,-85.125,12.375,30,14.3058,176.5000,14.6689,234.8667,8.0055,58.3667,6.4819,3.4178,14.9476,3.0600,24.4987,4.6254,34.1139,3.6172
153,-84.875,12.375,30,17.7406,174.1333,17.5248,227.5000,8.8471,53.3667,8.7856,5.0484,18.2582,3.6943,21.2193,5.7232,31.8471,5.1211
161,-87.125,12.625,30,12.7514,163.3333,15.6182,256.5667,3.3962,93.2333,10.7886,3.4524,17.3112,4.6503,13.5867,1.4901,21.2549,2.6501
162,-86.875,12.625,30,11.8181,159.5667,13.6674,260.7000,3.2315,101.1333,9.5113,2.8825,17.9091,3.4776,10.2323,1.2349,21.6058,1.8778
163,-86.625,12.625,30,11.1861,161.2667,12.6045,260.8000,3.0055,99.5333,8.8898,2.8148,18.7321,3.2293,10.1519,1.1522,22.0403,1.8411
164,-86.375,12.625,30,10.3399,161.5000,11.3518,260.1333,2.8437,98.6333,8.0022,2.6822,18.6912,2.8684,9.9784,1.0811,21.8134,1.7818
165,-86.125,12.625,30,9.9317,165.1333,10.6679,254.9000,2.9344,89.7667,7.3654,2.6027,16.3723,2.5431,14.8611,1.0644,19.7984,1.7469
166,-85.875,12.625,30,9.7492,168.4333,10.2937,254.2000,3.9277,85.7667,6.0937,2.6476,14.6633,2.2084,20.1004,2.0487,30.0823,2.4177
167,-85.625,12.625,30,10.4339,173.1333,10.7022,247.8667,4.6810,74.7333,5.8871,2.7045,12.9128,2.3100,22.1215,2.5516,28.6548,2.6217
168,-85.375,12.625,30,11.6328,173.5667,11.8158,239.0667,5.6976,65.5000,6.0267,2.8797,14.0263,2.4919,24.3040,3.2285,31.9361,3.0701
169,-85.125,12.625,30,13.4051,175.5333,13.3035,234.8667,7.1852,59.3333,6.1691,3.2530,14.6846,2.7755,24.4480,4.1279,33.2663,3.5014
176,-87.625,12.875,30,11.7566,163.8333,14.3265,250.3667,3.7711,86.5333,9.2705,3.0750,19.7486,3.9273,18.5890,2.0725,26.2018,2.8284
177,-87.375,12.875,30,13.1972,161.8000,16.1715,255.7333,3.5415,93.9333,11.1428,3.5225,19.1246,4.7447,13.0884,1.6039,22.2741,2.7185
178,-87.125,12.875,30,13.5423,160.3000,16.4316,256.9333,3.4274,96.6333,11.5595,3.6882,19.3945,4.9930,13.2403,1.5767,23.2356,2.8726
179,-86.875,12.875,30,12.2097,161.0333,13.9983,257.6000,3.3413,96.5667,9.7627,2.9767,19.0724,3.6997,11.3824,1.2898,22.8166,1.9633
180,-86.625,12.875,30,11.3926,161.0667,12.6725,258.4333,3.1310,97.3667,8.9016,2.8431,19.0967,3.3222,11.5987,1.2151,23.5613,1.8836
181,-86.375,12.875,30,10.5181,161.4667,11.3879,255.2000,2.9968,93.7333,7.9563,2.7076,19.2492,2.8645,14.8333,1.1531,23.4740,1.8287
182,-86.125,12.875,30,10.1678,164.8333,10.7832,246.5333,3.4727,81.7000,7.0028,2.6730,16.8074,2.5229,20.3567,1.9546,26.3153,2.1671
183,-85.875,12.875,30,10.1376,171.3000,10.3793,251.1000,4.1771,79.8000,6.0814,2.8054,14.3170,2.3233,20.6337,2.1986,28.8736,2.5563
184,-85.625,12.875,30,10.8218,172.8333,10.8299,239.1000,5.0436,66.2667,5.7822,2.8708,13.5037,2.3357,24.2791,2.8097,32.1032,2.9104
185,-85.375,12.875,30,11.8787,175.3000,11.6901,238.3333,5.6787,63.0333,6.1057,3.0927,14.6362,2.4650,24.6525,3.2450,31.6342,3.1751
186,-85.125,12.875,30,13.4445,175.1000,12.9321,232.3000,7.1747,57.2000,6.0136,3.4615,15.0456,2.7061,25.3842,4.0128,33.8408,3.5896
199,-87.375,13.125,30,12.3974,157.1000,14.5044,257.2000,3.9029,100.1000,9.5480,3.2849,19.0758,3.5448,11.5472,1.6931,19.0975,2.2223
200,-87.125,13.125,30,12.3923,161.0333,14.0593,258.1333,3.8546,97.1000,9.3712,3.3608,17.7288,3.4456,11.8721,1.6693,18.9397,2.1241
201,-86.875,13.125,30,11.2737,161.5000,12.6628,257.4000,3.5177,95.9000,8.4505,2.8742,17.5101,3.0130,12.1076,1.3908,20.6671,1.8172
202,-86.625,13.125,30,10.7727,162.1000,11.5416,257.3667,3.4850,95.2667,7.6721,2.8881,17.3391,2.6970,12.1782,1.3886,21.4796,1.7946
203,-86.375,13.125,30,10.5604,163.4667,10.9303,251.6000,3.7322,88.1333,7.0131,2.9248,16.2093,2.4492,17.9705,1.6093,21.8533,1.8313
204,-86.125,13.125,30,10.8152,172.6333,10.8808,248.7333,4.3385,76.1000,6.5095,2.9555,15.4796,2.3162,20.3435,1.8992,28.9057,2.2682
205,-85.875,13.125,30,11.0939,172.5000,11.3942,242.4333,5.0947,69.9333,6.1493,2.9229,15.0281,2.9578,25.5865,2.5331,30.9526,3.0254
