ID,Lon,Lat,ann_avg,p-ann_avg
417,-91.1250,14.8750,-0.2829,0.1914
418,-90.8750,14.8750,-0.2921,0.1728
419,-90.6250,14.8750,-0.3093,0.1118
420,-90.3750,14.8750,-0.3477,0.1118
421,-90.1250,14.8750,-0.4153,0.0535
422,-89.8750,14.8750,-0.5072,0.0535
423,-89.6250,14.8750,-0.5413,0.0409
424,-89.3750,14.8750,-0.5111,0.0409
425,-89.1250,14.8750,-0.4724,0.0409
426,-88.8750,14.8750,-0.4256,0.0409
427,-88.6250,14.8750,-0.4309,0.0356
433,-87.1250,14.8750,-0.3564,0.0995
454,-91.8750,15.1250,-0.2036,0.2805
455,-91.6250,15.1250,-0.2639,0.2805
456,-91.3750,15.1250,-0.3072,0.2115
457,-91.1250,15.1250,-0.3336,0.1914
458,-90.8750,15.1250,-0.3639,0.1914
459,-90.6250,15.1250,-0.3818,0.1728
460,-90.3750,15.1250,-0.3926,0.0995
461,-90.1250,15.1250,-0.4722,0.0691
462,-89.8750,15.1250,-0.6291,0.0468
463,-89.6250,15.1250,-0.6696,0.0356
464,-89.3750,15.1250,-0.6024,0.0409
466,-88.8750,15.1250,-0.5026,0.0309
493,-92.1250,15.3750,-0.1617,0.3942
494,-91.8750,15.3750,-0.2240,0.2805
495,-91.6250,15.3750,-0.2921,0.2115
496,-91.3750,15.3750,-0.3649,0.1914
497,-91.1250,15.3750,-0.4072,0.1398
498,-90.8750,15.3750,-0.4360,0.1556
533,-91.8750,15.6250,-0.2793,0.2115
534,-91.6250,15.6250,-0.3640,0.1728
535,-91.3750,15.6250,-0.4684,0.1398
536,-91.1250,15.6250,-0.5177,0.1398
537,-90.8750,15.6250,-0.5254,0.1556
571,-91.6250,15.8750,-0.3860,0.1398
572,-91.3750,15.8750,-0.5050,0.1398
573,-91.1250,15.8750,-0.5639,0.1398
574,-90.8750,15.8750,-0.5673,0.1118
